,case,name,d0,n0,repetition,nll_source,steps_fsp,fsp_source,seqlength,cwlen,iwlen,rankmax,ranknum,d1,n1,nll_learned,fsp_learned,kl_divergence,mse
52,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],31622,2,2,4,5,3,5,2.585008886823042,"[7.26689239e-21 7.26689239e-21 7.26689239e-21 ... 7.26689239e-21
 7.26689239e-21 7.26689239e-21]",5.937329082987921,0.0010679433664744931
53,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],31622,2,2,4,5,4,5,4.86800610238988,"[3.68751308e-24 3.68751308e-24 3.68751308e-24 ... 3.68751308e-24
 3.68751308e-24 3.68751308e-24]",29.261678514021035,0.0017338688604896385
54,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],100000,2,2,4,7,2,5,2.1901844861504363,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],0.4315499079595447,0.0006384383771249325
55,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],100000,2,2,4,7,3,5,3.76647899091447,"[6.07776918e-21 6.07776918e-21 6.07776918e-21 ... 6.07776918e-21
 6.07776918e-21 6.07776918e-21]",12.71869614335075,0.0015556283552395622
56,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],100000,2,2,4,7,4,5,4.055948680982159,"[3.04018544e-21 3.04018544e-21 3.04018544e-21 ... 3.04018544e-21
 3.04018544e-21 3.04018544e-21]",13.74771242749832,0.0016765391249944058
57,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],316227,2,2,4,7,2,5,2.1912686347158368,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],0.43675666872979174,0.0006663610845760366
58,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],316227,2,2,4,7,3,5,6.949774362489249,"[1.25045452e-22 1.25045452e-22 1.25045452e-22 ... 1.25045452e-22
 1.25045452e-22 1.25045452e-22]",21.406138026150227,0.0026143504770310987
59,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],316227,2,2,4,7,4,5,7.272493704718347,"[9.12535104e-23 9.12535104e-23 9.12535104e-23 ... 9.12535104e-23
 9.12535104e-23 9.12535104e-23]",22.641978157694574,0.0027960441814014435
60,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000000,2,2,4,8,2,5,2.208797773458609,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],0.48905757868875266,0.0007414549583119394
61,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000000,2,2,4,8,3,5,5.912756261997908,"[1.40863334e-23 1.40863334e-23 1.40863334e-23 ... 1.40863334e-23
 1.40863334e-23 1.40863334e-23]",23.050610860509885,0.0018647015119879326
62,blended_known,S_5,10,5,2,2.027494655406399,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000000,2,2,4,8,4,5,6.294404543591445,"[4.23004019e-27 4.23004019e-27 4.23004019e-27 ... 4.23004019e-27
 4.23004019e-27 4.23004019e-27]",27.273932235861775,0.0021548115786312336
63,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000,3,3,8,2,2,3,1.5722905904146298,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],0.4849004029430958,0.00525854534215755
64,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000,3,3,8,2,3,3,6.339686586178325,"[6.76081997e-23 6.76081997e-23 6.76081997e-23 ... 6.76081997e-23
 6.76081997e-23 6.76081997e-23]",25.131572393822953,0.03769915603792822
65,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000,3,3,8,2,4,3,1.5720976635244077,"[9.93252311e-21 9.93252311e-21 9.93252311e-21 ... 9.93252311e-21
 9.93252311e-21 9.93252311e-21]",0.47120699122736565,0.003961195316838317
66,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000,3,3,8,2,5,3,4.000858419761003,"[9.1813899e-21 9.1813899e-21 9.1813899e-21 ... 9.1813899e-21 9.1813899e-21
 9.1813899e-21]",3.6380418033525093,0.005563069538617361
67,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000,3,3,8,2,6,3,3.4506430369872403,"[6.94815637e-21 6.94815637e-21 6.94815637e-21 ... 6.94815637e-21
 6.94815637e-21 6.94815637e-21]",9.196737368215185,0.008644575147071482
68,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000,3,3,8,2,7,3,5.680037413818606,"[1.09361013e-23 1.09361013e-23 1.09361013e-23 ... 1.09361013e-23
 1.09361013e-23 1.09361013e-23]",23.91627127851713,0.019647657865810256
69,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000,3,3,8,2,8,3,6.543928022668954,"[4.24428744e-26 4.24428744e-26 4.24428744e-26 ... 4.24428744e-26
 4.24428744e-26 4.24428744e-26]",27.559068783945605,0.03336231626220633
70,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],3162,3,3,8,3,2,3,1.4952773714880714,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],0.22746873099141895,0.0021668428956601923
71,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],3162,3,3,8,3,3,3,1.642385451939941,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],0.6545013737815389,0.007920020349905618
72,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],3162,3,3,8,3,4,3,6.344112660688166,"[1.32434919e-27 1.32434919e-27 1.32434919e-27 ... 1.32434919e-27
 1.32434919e-27 1.32434919e-27]",28.96386129357193,0.01821310618427123
73,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],3162,3,3,8,3,5,3,6.3441577646623895,"[3.65878192e-33 3.65878192e-33 3.65878192e-33 ... 3.65878192e-33
 3.65878192e-33 3.65878192e-33]",35.46861559182575,0.016388500238091613
74,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],3162,3,3,8,3,6,3,1.4901189111319857,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],0.1580693967078614,0.0019353645813373344
75,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],3162,3,3,8,3,7,3,2.226829100375894,"[9.14543855e-21 9.14543855e-21 9.14543855e-21 ... 9.14543855e-21
 9.14543855e-21 9.14543855e-21]",2.9622348551561535,0.0036315553208005804
76,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],3162,3,3,8,3,8,3,3.4846354687484458,"[7.36362837e-21 7.36362837e-21 7.36362837e-21 ... 7.36362837e-21
 7.36362837e-21 7.36362837e-21]",3.131531678061767,0.0048370198177616385
77,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],10000,3,3,8,3,2,3,1.4856493806731725,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],0.1909439498276384,0.0018461270851924624
78,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],10000,3,3,8,3,3,3,4.704811388033316,"[6.84117664e-21 6.84117664e-21 6.84117664e-21 ... 6.84117664e-21
 6.84117664e-21 6.84117664e-21]",8.375786506070416,0.00836875490195737
79,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],10000,3,3,8,3,4,3,4.158907364299418,"[8.42307909e-21 8.42307909e-21 8.42307909e-21 ... 8.42307909e-21
 8.42307909e-21 8.42307909e-21]",5.552221931580598,0.007418926468006478
80,blended_known,S_3,10,3,1,1.4243382501498116,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],10000,3,3,8,3,5,3,4.250306068757805,"[9.65983149e-22 9.65983149e-22 9.65983149e-22 ... 9.65983149e-22
 9.65983149e-22 9.65983149e-22]",21.882055999495492,0.014525643895583392
