,case,name,d0,n0,repetition,nll_source,steps_fsp,fsp_source,seqlength,cwlen,iwlen,rankmax,d1,n1,nll_learned,fsp_learned,kl_divergence,nll_gmm,l2_gmm
1879,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",1000000,2,2,9,8,5,3.0241144145108274,"[1.28964426e-18 1.26710528e-17 1.11967095e-16 ... 1.83078569e-12
 4.77658586e-13 1.13359120e-13]",12.536592195354025,,
1880,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",1000000,2,2,9,9,5,5.824898364066359,"[3.13069655e-25 3.13069655e-25 3.13069655e-25 ... 3.13069655e-25
 3.13069655e-25 3.13069655e-25]",31.763886297223117,,
1881,blended_gmm,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",1000000,2,2,4,2,3,4.023999017510284,"[6.20878225e-26 1.49538274e-23 5.10928671e-22 ... 7.76500322e-17
 1.17244105e-17 8.45639252e-19]",14.94324993527815,1.6460064904717024,0.0015985491135473984
1882,blended_gmm,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",1000000,2,2,4,3,3,2.959287808890358,"[6.35070970e-26 2.20590415e-23 7.73974457e-22 ... 4.55980155e-17
 6.88486324e-18 4.96580241e-19]",0.6262027400068285,1.6460064904717024,0.0015985491135473984
1883,blended_gmm,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",1000000,2,2,4,4,3,3.5242872070109343,"[5.00820162e-22 5.00820162e-22 5.00820162e-22 ... 2.89354617e-18
 4.36897735e-19 3.15118507e-20]",13.228810622082678,1.6460064904717024,0.0015985491135473984
1884,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",10000000,2,2,9,2,5,2.3044305422962177,"[2.61558159e-18 3.70484804e-17 9.11320235e-16 ... 8.37952483e-13
 2.25810919e-13 5.27849787e-14]",0.06171493369644666,,
1885,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",10000000,2,2,9,3,5,2.3847309895101194,"[2.36822535e-18 3.46557287e-17 8.91950250e-16 ... 7.89001191e-13
 2.11715700e-13 4.94805645e-14]",0.103534938118525,,
1886,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",10000000,2,2,9,4,5,2.670868505639927,"[2.48308352e-18 3.64306653e-17 9.40945686e-16 ... 8.71605125e-13
 2.33471285e-13 5.45615772e-14]",0.1104212355581735,,
1887,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",10000000,2,2,9,5,5,2.3394005727567504,"[2.73304026e-18 3.80195490e-17 9.10412241e-16 ... 8.82892021e-13
 2.38616425e-13 5.58042830e-14]",0.059596800902447934,,
1888,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",10000000,2,2,9,6,5,4.192897551184554,"[5.31381473e-17 4.50738225e-16 6.91775080e-16 ... 2.46671040e-12
 8.83451473e-13 1.96768633e-13]",23.5901304625699,,
