,source_alphabet_size,source_density,source_dimension,source_stationary_state,source_membership_functions,training_length,ci_words_length,target_dimension,nll_source,nll_learned
208,2,1.0,16,True,"get_beta, arg_sum=32",100000,10,14,-0.9997420268666539,-0.9997811471966063
209,2,1.0,16,True,"get_beta, arg_sum=32",100000,10,16,-0.9997420268666539,nan
210,2,1.0,16,True,"get_beta, arg_sum=128",100000,2,2,-0.9988489816702443,-2.697469297299193
211,2,1.0,16,True,"get_beta, arg_sum=128",100000,2,4,-0.9988489816702443,-3.1852929289993464
212,2,1.0,16,True,"get_beta, arg_sum=128",100000,2,6,-0.9988489816702443,-3.1852929290028666
213,2,1.0,16,True,"get_beta, arg_sum=128",100000,2,8,-0.9988489816702443,-3.1852929289944742
214,2,1.0,16,True,"get_beta, arg_sum=128",100000,2,10,-0.9988489816702443,-3.1852929290029657
215,2,1.0,16,True,"get_beta, arg_sum=128",100000,2,12,-0.9988489816702443,-3.1852929289919802
216,2,1.0,16,True,"get_beta, arg_sum=128",100000,2,14,-0.9988489816702443,-3.185292929021382
217,2,1.0,16,True,"get_beta, arg_sum=128",100000,2,16,-0.9988489816702443,-3.1852929290032335
218,2,1.0,16,True,"get_beta, arg_sum=128",100000,6,2,-0.9988489816702443,-1.0031614269768032
219,2,1.0,16,True,"get_beta, arg_sum=128",100000,6,4,-0.9988489816702443,-1.0031949271995821
220,2,1.0,16,True,"get_beta, arg_sum=128",100000,6,6,-0.9988489816702443,-1.5094069756759307
221,2,1.0,16,True,"get_beta, arg_sum=128",100000,6,8,-0.9988489816702443,nan
222,2,1.0,16,True,"get_beta, arg_sum=128",100000,6,10,-0.9988489816702443,nan
223,2,1.0,16,True,"get_beta, arg_sum=128",100000,6,12,-0.9988489816702443,-2.8284245607853653
224,2,1.0,16,True,"get_beta, arg_sum=128",100000,6,14,-0.9988489816702443,-3.6275903560666345
225,2,1.0,16,True,"get_beta, arg_sum=128",100000,6,16,-0.9988489816702443,nan
226,2,1.0,16,True,"get_beta, arg_sum=128",100000,10,2,-0.9988489816702443,-1.0126337928434628
227,2,1.0,16,True,"get_beta, arg_sum=128",100000,10,4,-0.9988489816702443,-1.556028468635492
228,2,1.0,16,True,"get_beta, arg_sum=128",100000,10,6,-0.9988489816702443,-1.0117507647825175
229,2,1.0,16,True,"get_beta, arg_sum=128",100000,10,8,-0.9988489816702443,-1.7108643425523875
230,2,1.0,16,True,"get_beta, arg_sum=128",100000,10,10,-0.9988489816702443,nan
231,2,1.0,16,True,"get_beta, arg_sum=128",100000,10,12,-0.9988489816702443,-3.1037896557951585
232,2,1.0,16,True,"get_beta, arg_sum=128",100000,10,14,-0.9988489816702443,-1.1239274313438787
233,2,1.0,16,True,"get_beta, arg_sum=128",100000,10,16,-0.9988489816702443,-1.3231460816169622
234,6,0.1,2,True,"get_beta, arg_sum=32",100000,2,2,-2.402833241106912,-2.853050061197894
235,6,0.1,2,True,"get_beta, arg_sum=128",100000,2,2,-2.45973029382059,-2.8465481216383917
236,6,0.1,8,True,"get_beta, arg_sum=32",100000,2,2,-2.5420736236820716,-2.640786242230041
237,6,0.1,8,True,"get_beta, arg_sum=32",100000,2,4,-2.5420736236820716,-2.642520581214349
238,6,0.1,8,True,"get_beta, arg_sum=32",100000,2,6,-2.5420736236820716,-2.6389170893532565
239,6,0.1,8,True,"get_beta, arg_sum=32",100000,2,8,-2.5420736236820716,-2.6383968862288647
240,6,0.1,8,True,"get_beta, arg_sum=128",100000,2,2,-2.453052982189248,-2.661089959404413
241,6,0.1,8,True,"get_beta, arg_sum=128",100000,2,4,-2.453052982189248,-2.7203675651616246
242,6,0.1,8,True,"get_beta, arg_sum=128",100000,2,6,-2.453052982189248,-2.704167234316521
243,6,0.1,8,True,"get_beta, arg_sum=128",100000,2,8,-2.453052982189248,-2.763539239156968
244,6,0.1,16,True,"get_beta, arg_sum=32",100000,2,2,-2.573657239483459,-2.58670664361624
245,6,0.1,16,True,"get_beta, arg_sum=32",100000,2,4,-2.573657239483459,-2.5873224220237643
246,6,0.1,16,True,"get_beta, arg_sum=32",100000,2,6,-2.573657239483459,-2.7329017300719096
247,6,0.1,16,True,"get_beta, arg_sum=32",100000,2,8,-2.573657239483459,-3.0113371721938904
248,6,0.1,16,True,"get_beta, arg_sum=32",100000,2,10,-2.573657239483459,-3.0969702418884597
249,6,0.1,16,True,"get_beta, arg_sum=32",100000,2,12,-2.573657239483459,-3.140374103093819
250,6,0.1,16,True,"get_beta, arg_sum=32",100000,2,14,-2.573657239483459,-3.2951111079819797
251,6,0.1,16,True,"get_beta, arg_sum=32",100000,2,16,-2.573657239483459,-3.362215576926854
252,6,0.1,16,True,"get_beta, arg_sum=128",100000,2,2,-2.5536589804836716,-2.5992631289504162
253,6,0.1,16,True,"get_beta, arg_sum=128",100000,2,4,-2.5536589804836716,-2.605874392642305
254,6,0.1,16,True,"get_beta, arg_sum=128",100000,2,6,-2.5536589804836716,-2.6102243628327786
255,6,0.1,16,True,"get_beta, arg_sum=128",100000,2,8,-2.5536589804836716,-2.612177746152976
256,6,0.1,16,True,"get_beta, arg_sum=128",100000,2,10,-2.5536589804836716,-2.6146123338510034
257,6,0.1,16,True,"get_beta, arg_sum=128",100000,2,12,-2.5536589804836716,-2.6163159937108627
258,6,0.1,16,True,"get_beta, arg_sum=128",100000,2,14,-2.5536589804836716,-3.477502061359729
259,6,0.1,16,True,"get_beta, arg_sum=128",100000,2,16,-2.5536589804836716,-4.118300226108719
260,6,0.5,2,True,"get_beta, arg_sum=32",100000,2,2,-2.563260470036098,-2.574225721301632
261,6,0.5,2,True,"get_beta, arg_sum=128",100000,2,2,-2.3444677898433386,-2.457809332090876
262,6,0.5,8,True,"get_beta, arg_sum=32",100000,2,2,-2.5842525779968413,-2.5853079521614184
263,6,0.5,8,True,"get_beta, arg_sum=32",100000,2,4,-2.5842525779968413,-2.5855102719720207
264,6,0.5,8,True,"get_beta, arg_sum=32",100000,2,6,-2.5842525779968413,-2.875850942841234
265,6,0.5,8,True,"get_beta, arg_sum=32",100000,2,8,-2.5842525779968413,-2.899977563749493
