,source_alphabet_size,source_density,source_dimension,source_stationary_state,training_length,ci_words_length,nll_source,nll_learned
177,4,0.1,16,True,[100000],6,-1.9521084199160301,-3.069417830659428
178,4,0.1,16,True,[100000],6,-1.9521084199160301,-3.074613616780308
179,4,0.1,16,True,[100000],6,-1.9521084199160301,nan
180,4,0.5,2,True,[100000],2,-1.908592955365054,-1.908079071265739
181,4,0.5,2,True,[100000],4,-1.908592955365054,-1.94541813492762
182,4,0.5,2,True,[100000],6,-1.908592955365054,-2.0754526718380277
183,4,0.5,4,True,[100000],2,-1.9205237643772002,-1.9291692119030126
184,4,0.5,4,True,[100000],2,-1.9205237643772002,-1.9224400173701235
185,4,0.5,4,True,[100000],4,-1.9205237643772002,-1.9304273128616893
186,4,0.5,4,True,[100000],4,-1.9205237643772002,-1.9239031672677975
187,4,0.5,4,True,[100000],6,-1.9205237643772002,-1.9530566632297797
188,4,0.5,4,True,[100000],6,-1.9205237643772002,-1.9526801428074454
189,4,0.5,8,True,[100000],2,-1.9952469677660847,-1.9967470565673955
190,4,0.5,8,True,[100000],2,-1.9952469677660847,-1.9953226600531961
191,4,0.5,8,True,[100000],2,-1.9952469677660847,-1.9953737027026728
192,4,0.5,8,True,[100000],2,-1.9952469677660847,-1.9956007790410843
193,4,0.5,8,True,[100000],4,-1.9952469677660847,-1.9969013500860973
194,4,0.5,8,True,[100000],4,-1.9952469677660847,-1.996734421264576
195,4,0.5,8,True,[100000],4,-1.9952469677660847,-1.9966098647137067
196,4,0.5,8,True,[100000],4,-1.9952469677660847,-1.9964368203377563
197,4,0.5,8,True,[100000],6,-1.9952469677660847,-2.0056859854659534
198,4,0.5,8,True,[100000],6,-1.9952469677660847,-2.005635495659552
199,4,0.5,8,True,[100000],6,-1.9952469677660847,-2.0055867425887666
200,4,0.5,8,True,[100000],6,-1.9952469677660847,-2.005477363356953
201,4,0.5,16,True,[100000],2,-1.995451792205129,-1.9954382931437704
202,4,0.5,16,True,[100000],2,-1.995451792205129,-2.0058968123142416
203,4,0.5,16,True,[100000],2,-1.995451792205129,-1.9962030129242618
204,4,0.5,16,True,[100000],2,-1.995451792205129,-1.9954817586179596
205,4,0.5,16,True,[100000],2,-1.995451792205129,-3.9704483851961943
206,4,0.5,16,True,[100000],2,-1.995451792205129,-3.7139370477395013
207,4,0.5,16,True,[100000],2,-1.995451792205129,-4.214463498050475
208,4,0.5,16,True,[100000],2,-1.995451792205129,nan
209,4,0.5,16,True,[100000],4,-1.995451792205129,-1.9958239436400997
210,4,0.5,16,True,[100000],4,-1.995451792205129,-1.9958073377185541
211,4,0.5,16,True,[100000],4,-1.995451792205129,-2.37925317263356
212,4,0.5,16,True,[100000],4,-1.995451792205129,-2.4238005791791246
213,4,0.5,16,True,[100000],4,-1.995451792205129,-2.771542569819561
214,4,0.5,16,True,[100000],4,-1.995451792205129,-2.893727375557777
215,4,0.5,16,True,[100000],4,-1.995451792205129,-2.5092061145057443
216,4,0.5,16,True,[100000],4,-1.995451792205129,-2.913037391457925
217,4,0.5,16,True,[100000],6,-1.995451792205129,-2.003097429245325
218,4,0.5,16,True,[100000],6,-1.995451792205129,-2.0030646921663724
219,4,0.5,16,True,[100000],6,-1.995451792205129,-2.003052583531733
220,4,0.5,16,True,[100000],6,-1.995451792205129,-2.003011468361568
221,4,0.5,16,True,[100000],6,-1.995451792205129,-2.003007361430526
222,4,0.5,16,True,[100000],6,-1.995451792205129,-2.0029699929671736
223,4,0.5,16,True,[100000],6,-1.995451792205129,-2.002959412540797
224,4,0.5,16,True,[100000],6,-1.995451792205129,-2.003065144095358
225,4,1.0,2,True,[100000],2,-1.989276669322661,-1.9893758085769813
226,4,1.0,2,True,[100000],4,-1.989276669322661,-1.9902201512594302
227,4,1.0,2,True,[100000],6,-1.989276669322661,-2.001554512582705
228,4,1.0,4,True,[100000],2,-1.97955719285035,-1.980684695374384
229,4,1.0,4,True,[100000],2,-1.97955719285035,-1.9793390014023362
230,4,1.0,4,True,[100000],4,-1.97955719285035,-1.9826176095819508
231,4,1.0,4,True,[100000],4,-1.97955719285035,-2.6240648563835367
232,4,1.0,4,True,[100000],6,-1.97955719285035,-1.9956315614929065
233,4,1.0,4,True,[100000],6,-1.97955719285035,-1.9956275076611647
